tuid,"img","tag"
158,"LMSLPS150050157","settlement"
159,"LMSLPS150050157","widow"
160,"LMSLPS150050157","wife"
161,"LMSLPS150050158","churchwardens_petition"
162,"LMSLPS150050158","removal"
163,"LMSLPS150050158","servant"
164,"LMSLPS150050158","settlement"
165,"LMSLPS150050158","widow"
166,"LMSLPS150050162","churchwardens_petition"
167,"LMSLPS150050162","removal"
168,"LMSLPS150050162","servant"
169,"LMSLPS150050162","settlement"
170,"LMSLPS150050165","churchwardens_petition"
171,"LMSLPS150050165","parents"
172,"LMSLPS150050165","removal"
173,"LMSLPS150050165","settlement"
174,"LMSLPS150050165","son/daughter"
175,"LMSLPS150050167","churchwardens_petition"
176,"LMSLPS150050167","husband"
177,"LMSLPS150050167","removal"
178,"LMSLPS150050167","servant"
179,"LMSLPS150050167","settlement"
180,"LMSLPS150050167","wife"
181,"LMSLPS150050170","churchwardens_petition"
182,"LMSLPS150050170","husband"
183,"LMSLPS150050170","parents"
184,"LMSLPS150050170","removal"
185,"LMSLPS150050170","settlement"
186,"LMSLPS150050170","son/daughter"
187,"LMSLPS150050175","churchwardens_petition"
188,"LMSLPS150050175","husband"
189,"LMSLPS150050175","removal"
190,"LMSLPS150050175","settlement"
191,"LMSLPS150050175","wife"
192,"LMSLPS150050177","children"
193,"LMSLPS150050177","churchwardens_petition"
194,"LMSLPS150050177","parents"
195,"LMSLPS150050177","son/daughter"
196,"LMSLPS150050182","children"
197,"LMSLPS150050182","churchwardens_petition"
198,"LMSLPS150050184","churchwardens_petition"
199,"LMSLPS150050184","poor"
200,"LMSLPS150050184","rates"
201,"LMSLPS150050185","churchwardens_petition"
202,"LMSLPS150050185","rates"
203,"LMSLPS150050186","churchwardens_petition"
204,"LMSLPS150050186","rates"
205,"LMSLPS150050187","churchwardens_petition"
206,"LMSLPS150050187","rates"
207,"LMSLPS150050188","churchwardens_petition"
208,"LMSLPS150050188","rates"
209,"LMSLPS150050189","churchwardens_petition"
210,"LMSLPS150050189","rates"
211,"LMSLPS150050190","churchwardens_petition"
212,"LMSLPS150050190","rates"
213,"LMSLPS150050191","churchwardens_petition"
214,"LMSLPS150050191","rates"
215,"LMSLPS150050192","churchwardens_petition"
216,"LMSLPS150050192","rates"
217,"LMSLPS150050193","churchwardens_petition"
218,"LMSLPS150050193","rates"
219,"LMSLPS150050194","churchwardens_petition"
220,"LMSLPS150050194","rates"
221,"LMSLPS150060132","churchwardens_petition"
222,"LMSLPS150060132","parents"
223,"LMSLPS150060132","removal"
224,"LMSLPS150060132","settlement"
225,"LMSLPS150060132","son/daughter"
226,"LMSLPS150060132","wife"
227,"LMSLPS150060134","churchwardens_petition"
228,"LMSLPS150060134","removal"
229,"LMSLPS150060134","servant"
230,"LMSLPS150060134","settlement"
231,"LMSLPS150060134","spinster"
232,"LMSLPS150060135","children"
233,"LMSLPS150060135","churchwardens_petition"
234,"LMSLPS150060135","husband"
235,"LMSLPS150060135","son/daughter"
236,"LMSLPS150060137","churchwardens_petition"
237,"LMSLPS150060137","poor"
238,"LMSLPS150060137","removal"
239,"LMSLPS150060137","son/daughter"
240,"LMSLPS150060138","churchwardens_petition"
241,"LMSLPS150060138","parents"
242,"LMSLPS150060138","removal"
243,"LMSLPS150060138","settlement"
244,"LMSLPS150060138","son/daughter"
245,"LMSLPS150060141","churchwardens_petition"
246,"LMSLPS150060141","removal"
247,"LMSLPS150060141","servant"
248,"LMSLPS150060141","settlement"
249,"LMSLPS150060144","churchwardens_petition"
250,"LMSLPS150060144","removal"
251,"LMSLPS150060144","settlement"
252,"LMSLPS150060144","wife"
253,"LMSLPS150060147","bastardy"
254,"LMSLPS150060147","children"
255,"LMSLPS150060147","churchwardens_petition"
256,"LMSLPS150060147","recognizances"
257,"LMSLPS150060147","widow"
258,"LMSLPS150060148","churchwardens_petition"
259,"LMSLPS150060148","rates"
260,"LMSLPS150060149","friends"
261,"LMSLPS150060149","transportation"
262,"LMSLPS150060151","prisoner"
263,"LMSLPS150060151","recognizances"
264,"LMSLPS150060151","wife"
265,"LMSLPS150060153","indictment"
266,"LMSLPS150060153","prisoner"
267,"LMSLPS150060153","recognizances"
268,"LMSLPS150060153","treason"
269,"LMSLPS150060155","assault"
270,"LMSLPS150060155","indictment"
271,"LMSLPS150060155","recognizances"
272,"LMSLPS150060156","churchwardens_petition"
273,"LMSLPS150060156","rates"
274,"LMSLPS150070049","recognizances"
275,"LMSLPS150070050","apprentice"
276,"LMSLPS150070050","drink"
277,"LMSLPS150070050","friends"
278,"LMSLPS150070050","parents"
279,"LMSLPS150070050","removal"
280,"LMSLPS150070050","son/daughter"
281,"LMSLPS150070101","prisoner"
282,"LMSLPS150070101","recognizances"
283,"LMSLPS150070101","theft"
284,"LMSLPS150070115","friends"
285,"LMSLPS150070122","churchwardens_petition"
286,"LMSLPS150070122","rates"
287,"LMSLPS150070123","churchwardens_petition"
288,"LMSLPS150070123","rates"
289,"LMSLPS150070129","coining_forgery"
290,"LMSLPS150070129","prisoner"
291,"LMSLPS150070129","recognizances"
292,"LMSLPS150070131","children"
293,"LMSLPS150070131","coining_forgery"
294,"LMSLPS150070131","prisoner"
295,"LMSLPS150070131","recognizances"
296,"LMSLPS150070138","children"
297,"LMSLPS150070138","churchwardens_petition"
298,"LMSLPS150070138","husband"
299,"LMSLPS150070138","removal"
300,"LMSLPS150070138","settlement"
301,"LMSLPS150070138","wife"
302,"LMSLPS150070184","children"
303,"LMSLPS150070184","coining_forgery"
304,"LMSLPS150070184","prisoner"
305,"LMSLPS150070185","prisoner"
306,"LMSLPS150070185","treason"
307,"LMSLPS150070186","prisoner"
308,"LMSLPS150070187","indictment"
309,"LMSLPS150070187","poor"
310,"LMSLPS150070187","prisoner"
311,"LMSLPS150070187","recognizances"
312,"LMSLPS150070188","coining_forgery"
313,"LMSLPS150070188","prisoner"
314,"LMSLPS150070188","treason"
315,"LMSLPS150070189","prisoner"
316,"LMSLPS150070189","recognizances"
317,"LMSLPS150070189","treason"
318,"LMSLPS150070190","coining_forgery"
319,"LMSLPS150070190","prisoner"
320,"LMSLPS150070190","treason"
321,"LMSLPS150070191","murder"
322,"LMSLPS150070191","prisoner"
323,"LMSLPS150070191","treason"
324,"LMSLPS150070192","prisoner"
325,"LMSLPS150070192","treason"
326,"LMSLPS150070193","coining_forgery"
327,"LMSLPS150070193","indictment"
328,"LMSLPS150070193","prisoner"
329,"LMSLPS150070193","recognizances"
330,"LMSLPS150070193","treason"
331,"LMSLPS150070195","friends"
332,"LMSLPS150070195","indictment"
333,"LMSLPS150070195","prisoner"
334,"LMSLPS150070196","prisoner"
335,"LMSLPS150070197","friends"
336,"LMSLPS150070197","poor"
337,"LMSLPS150070197","prisoner"
338,"LMSLPS150070199","friends"
339,"LMSLPS150070199","prisoner"
340,"LMSLPS150070199","treason"
341,"LMSLPS150070201","indictment"
342,"LMSLPS150070201","prisoner"
343,"LMSLPS150070201","recognizances"
344,"LMSLPS150070202","friends"
345,"LMSLPS150070202","prisoner"
346,"LMSLPS150070203","poor"
347,"LMSLPS150070203","prisoner"
348,"LMSLPS150070204","children"
349,"LMSLPS150070204","prisoner"
350,"LMSLPS150070204","treason"
351,"LMSLPS150070205","coining_forgery"
352,"LMSLPS150070205","prisoner"
353,"LMSLPS150070206","coining_forgery"
354,"LMSLPS150070206","prisoner"
355,"LMSLPS150070206","treason"
356,"LMSLPS150070206","wife"
357,"LMSLPS150070207","prisoner"
358,"LMSLPS150070208","assault"
359,"LMSLPS150070208","poor"
360,"LMSLPS150070208","widow"
361,"LMSLPS150070208","wife"
362,"LMSLPS150070209","coining_forgery"
363,"LMSLPS150070209","prisoner"
364,"LMSLPS150070209","recognizances"
365,"LMSLPS150070209","removal"
366,"LMSLPS150070209","treason"
367,"LMSLPS150070210","prisoner"
368,"LMSLPS150070211","apprentice"
369,"LMSLPS150070211","assault"
370,"LMSLPS150070212","recognizances"
371,"LMSLPS150070212","transportation"
372,"LMSLPS150070213","poor"
373,"LMSLPS150070213","recognizances"
374,"LMSLPS150070216","coining_forgery"
375,"LMSLPS150070216","indictment"
376,"LMSLPS150070216","prisoner"
377,"LMSLPS150070216","wife"
378,"LMSLPS150070220","apprentice"
379,"LMSLPS150070220","friends"
380,"LMSLPS150070220","poor"
381,"LMSLPS150070230","churchwardens_petition"
382,"LMSLPS150070230","removal"
383,"LMSLPS150070230","settlement"
384,"LMSLPS150070230","wife"
385,"LMSLPS150080030","churchwardens_petition"
386,"LMSLPS150080030","husband"
387,"LMSLPS150080030","removal"
388,"LMSLPS150080030","settlement"
389,"LMSLPS150080058","coining_forgery"
390,"LMSLPS150080058","prisoner"
391,"LMSLPS150080058","recognizances"
392,"LMSLPS150080058","treason"
393,"LMSLPS150080059","coining_forgery"
394,"LMSLPS150080059","prisoner"
395,"LMSLPS150080059","recognizances"
396,"LMSLPS150080067","churchwardens_petition"
397,"LMSLPS150080067","rates"
398,"LMSLPS150080068","churchwardens_overseers"
399,"LMSLPS150080068","rates"
400,"LMSLPS150080071","coining_forgery"
401,"LMSLPS150080071","prisoner"
402,"LMSLPS150080071","recognizances"
403,"LMSLPS150080072","coining_forgery"
404,"LMSLPS150080072","prisoner"
405,"LMSLPS150080072","recognizances"
406,"LMSLPS150080078","apprentice"
407,"LMSLPS150080078","servant"
408,"LMSLPS150080078","son/daughter"
409,"LMSLPS150080108","prisoner"
410,"LMSLPS150080137","coining_forgery"
411,"LMSLPS150080137","drink"
412,"LMSLPS150080137","prisoner"
413,"LMSLPS150080137","treason"
414,"LMSLPS150080138","coining_forgery"
415,"LMSLPS150080138","prisoner"
416,"LMSLPS150080138","treason"
417,"LMSLPS150080139","prisoner"
418,"LMSLPS150080139","theft"
419,"LMSLPS150080140","prisoner"
420,"LMSLPS150080140","robbery"
421,"LMSLPS150080142","children"
422,"LMSLPS150080142","churchwardens_petition"
423,"LMSLPS150080144","children"
424,"LMSLPS150080144","churchwardens_petition"
425,"LMSLPS150080144","removal"
426,"LMSLPS150080144","settlement"
427,"LMSLPS150080144","wife"
428,"LMSLPS150080146","churchwardens_petition"
429,"LMSLPS150080146","removal"
430,"LMSLPS150080146","servant"
431,"LMSLPS150080146","settlement"
432,"LMSLPS150080146","spinster"
433,"LMSLPS150080147","churchwardens_petition"
434,"LMSLPS150080147","removal"
435,"LMSLPS150080147","settlement"
436,"LMSLPS150080147","wife"
437,"LMSLPS150080148","churchwardens_petition"
438,"LMSLPS150080148","removal"
439,"LMSLPS150080148","servant"
440,"LMSLPS150080148","settlement"
441,"LMSLPS150080148","wife"
442,"LMSLPS150080151","churchwardens_petition"
443,"LMSLPS150080151","removal"
444,"LMSLPS150080151","settlement"
445,"LMSLPS150080151","son/daughter"
446,"LMSLPS150080151","widow"
447,"LMSLPS150080152","churchwardens_petition"
448,"LMSLPS150080152","disability"
449,"LMSLPS150080152","removal"
450,"LMSLPS150080152","servant"
451,"LMSLPS150080152","settlement"
452,"LMSLPS150080153","apprentice"
453,"LMSLPS150080153","children"
454,"LMSLPS150080153","churchwardens_petition"
455,"LMSLPS150080153","removal"
456,"LMSLPS150080153","settlement"
457,"LMSLPS150080153","widow"
458,"LMSLPS150080158","children"
459,"LMSLPS150080158","churchwardens_petition"
460,"LMSLPS150080158","removal"
461,"LMSLPS150080158","servant"
462,"LMSLPS150080158","settlement"
463,"LMSLPS150080158","spinster"
464,"LMSLPS150080160","apprentice"
465,"LMSLPS150080160","churchwardens_petition"
466,"LMSLPS150080160","parents"
467,"LMSLPS150080160","removal"
468,"LMSLPS150080160","settlement"
469,"LMSLPS150080162","apprentice"
470,"LMSLPS150080162","churchwardens_petition"
471,"LMSLPS150080162","husband"
472,"LMSLPS150080162","removal"
473,"LMSLPS150080162","settlement"
474,"LMSLPS150080164","churchwardens_petition"
475,"LMSLPS150080164","parents"
476,"LMSLPS150080164","poor"
477,"LMSLPS150080164","removal"
478,"LMSLPS150080164","servant"
479,"LMSLPS150080164","settlement"
480,"LMSLPS150080164","spinster"
481,"LMSLPS150080169","churchwardens_petition"
482,"LMSLPS150080169","parents"
483,"LMSLPS150080169","son/daughter"
484,"LMSLPS150080169","widow"
485,"LMSLPS150080169","wife"
486,"LMSLPS150080171","churchwardens_petition"
487,"LMSLPS150080171","husband"
488,"LMSLPS150080171","servant"
489,"LMSLPS150080171","widow"
490,"LMSLPS150080171","wife"
491,"LMSLPS150080173","children"
492,"LMSLPS150080173","churchwardens_petition"
493,"LMSLPS150080173","drink"
494,"LMSLPS150080173","husband"
495,"LMSLPS150080173","removal"
496,"LMSLPS150080173","servant"
497,"LMSLPS150080173","settlement"
498,"LMSLPS150080175","churchwardens_petition"
499,"LMSLPS150080175","servant"
500,"LMSLPS150080175","wife"
501,"LMSLPS150090010","is_poor"
502,"LMSLPS150090010","prisoner"
503,"LMSLPS150090010","recognizances"
504,"LMSLPS150090010","theft"
505,"LMSLPS150090011","apprentice"
506,"LMSLPS150090011","parents"
507,"LMSLPS150090011","son/daughter"
508,"LMSLPS150090033","churchwardens_petition"
509,"LMSLPS150090033","rates"
510,"LMSLPS150090035","indictment"
511,"LMSLPS150090035","recognizances"
512,"LMSLPS150090065","indictment"
513,"LMSLPS150090065","prisoner"
514,"LMSLPS150090066","prisoner"
515,"LMSLPS150090069","coining_forgery"
516,"LMSLPS150090069","prisoner"
517,"LMSLPS150090071","churchwardens_petition"
518,"LMSLPS150090071","removal"
519,"LMSLPS150090071","settlement"
520,"LMSLPS150090074","children"
521,"LMSLPS150090074","churchwardens_overseers"
522,"LMSLPS150090074","spinster"
523,"LMSLPS150090074","widow"
524,"LMSLPS150090078","churchwardens_petition"
525,"LMSLPS150090078","removal"
526,"LMSLPS150090078","settlement"
527,"LMSLPS150090081","churchwardens_petition"
528,"LMSLPS150090081","wife"
529,"LMSLPS150090086","apprentice"
530,"LMSLPS150090086","churchwardens_petition"
531,"LMSLPS150090086","removal"
532,"LMSLPS150090086","servant"
533,"LMSLPS150090086","settlement"
534,"LMSLPS150090086","wife"
535,"LMSLPS150090090","apprentice"
536,"LMSLPS150090090","churchwardens_petition"
537,"LMSLPS150090090","removal"
538,"LMSLPS150090090","settlement"
539,"LMSLPS150090090","wife"
540,"LMSLPS150090094","churchwardens_petition"
541,"LMSLPS150090094","removal"
542,"LMSLPS150090094","settlement"
543,"LMSLPS150090094","son/daughter"
544,"LMSLPS150090095","churchwardens_petition"
545,"LMSLPS150090095","husband"
546,"LMSLPS150090095","removal"
547,"LMSLPS150090095","settlement"
548,"LMSLPS150090097","apprentice"
549,"LMSLPS150090097","churchwardens_petition"
550,"LMSLPS150090097","husband"
551,"LMSLPS150090097","removal"
552,"LMSLPS150090097","settlement"
553,"LMSLPS150090097","wife"
554,"LMSLPS150090100","churchwardens_petition"
555,"LMSLPS150090100","husband"
556,"LMSLPS150090100","wife"
557,"LMSLPS150090104","children"
558,"LMSLPS150090104","churchwardens_petition"
559,"LMSLPS150090104","removal"
560,"LMSLPS150090104","settlement"
561,"LMSLPS150090104","widow"
562,"LMSLPS150090105","churchwardens_petition"
563,"LMSLPS150090105","removal"
564,"LMSLPS150090105","servant"
565,"LMSLPS150090105","settlement"
566,"LMSLPS150090105","son/daughter"
567,"LMSLPS150090105","wife"
568,"LMSLPS150100001","churchwardens_petition"
569,"LMSLPS150100001","rates"
570,"LMSLPS150100026","felony"
571,"LMSLPS150100026","poor"
572,"LMSLPS150100026","prisoner"
573,"LMSLPS150100026","recognizances"
574,"LMSLPS150100059","disability"
575,"LMSLPS150100059","friends"
576,"LMSLPS150100059","is_poor"
577,"LMSLPS150100091","poor"
578,"LMSLPS150100091","prisoner"
579,"LMSLPS150100091","recognizances"
580,"LMSLPS150100091","wife"
581,"LMSLPS150100092","friends"
582,"LMSLPS150100092","prisoner"
583,"LMSLPS150100092","recognizances"
584,"LMSLPS150100092","theft"
585,"LMSLPS150100093","felony"
586,"LMSLPS150100093","friends"
587,"LMSLPS150100093","poor"
588,"LMSLPS150100093","prisoner"
589,"LMSLPS150100093","receiving"
590,"LMSLPS150100102","churchwardens_petition"
591,"LMSLPS150100102","rates"
592,"LMSLPS150100103","parishioners"
593,"LMSLPS150100103","rates"
594,"LMSLPS150100104","rates"
595,"LMSLPS150100106","parishioners"
596,"LMSLPS150100106","rates"
597,"LMSLPS150100107","churchwardens_petition"
598,"LMSLPS150100107","poor"
599,"LMSLPS150100107","rates"
600,"LMSLPS150100108","churchwardens_petition"
601,"LMSLPS150100109","churchwardens_petition"
602,"LMSLPS150100110","churchwardens_petition"
603,"LMSLPS150100110","rates"
604,"LMSLPS150100112","churchwardens_petition"
605,"LMSLPS150100112","rates"
606,"LMSLPS150100113","prisoner"
607,"LMSLPS150100113","treason"
608,"LMSLPS150100114","apprentice"
609,"LMSLPS150100114","children"
610,"LMSLPS150100114","son/daughter"
611,"LMSLPS150100114","widow"
612,"LMSLPS150100114","wife"
613,"LMSLPS150100115","prisoner"
614,"LMSLPS150100115","recognizances"
615,"LMSLPS150100115","theft"
616,"LMSLPS150100116","prisoner"
617,"LMSLPS150100116","theft"
618,"LMSLPS150100117","prisoner"
619,"LMSLPS150100118","prisoner"
620,"LMSLPS150100120","apprentice"
621,"LMSLPS150100120","bastardy"
622,"LMSLPS150100120","churchwardens_petition"
623,"LMSLPS150100120","removal"
624,"LMSLPS150100120","settlement"
625,"LMSLPS150100120","son/daughter"
626,"LMSLPS150100122","bastardy"
627,"LMSLPS150100122","churchwardens_petition"
628,"LMSLPS150100124","apprentice"
629,"LMSLPS150100124","churchwardens_petition"
630,"LMSLPS150100124","parents"
631,"LMSLPS150100124","removal"
632,"LMSLPS150100124","settlement"
633,"LMSLPS150100124","son/daughter"
634,"LMSLPS150100126","churchwardens_petition"
635,"LMSLPS150100126","removal"
636,"LMSLPS150100126","servant"
637,"LMSLPS150100126","settlement"
638,"LMSLPS150100128","churchwardens_petition"
639,"LMSLPS150100128","removal"
640,"LMSLPS150100128","settlement"
641,"LMSLPS150100128","wife"
642,"LMSLPS150100130","children"
643,"LMSLPS150100130","churchwardens_petition"
644,"LMSLPS150100130","parents"
645,"LMSLPS150100130","son/daughter"
646,"LMSLPS150100132","churchwardens_petition"
647,"LMSLPS150100132","wife"
648,"LMSLPS150100134","apprentice"
649,"LMSLPS150100134","churchwardens_petition"
650,"LMSLPS150100134","removal"
651,"LMSLPS150100134","settlement"
652,"LMSLPS150100134","wife"
653,"LMSLPS150100135","churchwardens_petition"
654,"LMSLPS150100135","disability"
655,"LMSLPS150100135","parents"
656,"LMSLPS150100135","removal"
657,"LMSLPS150100135","settlement"
658,"LMSLPS150100136","apprentice"
659,"LMSLPS150100136","churchwardens_petition"
660,"LMSLPS150100136","poor"
661,"LMSLPS150100136","removal"
662,"LMSLPS150100136","settlement"
663,"LMSLPS150100136","wife"
664,"LMSLPS150100138","churchwardens_petition"
665,"LMSLPS150100138","removal"
666,"LMSLPS150100138","settlement"
667,"LMSLPS150100140","churchwardens_overseers"
668,"LMSLPS150100140","rates"
669,"LMSLPS150100143","churchwardens_petition"
670,"LMSLPS150100143","parents"
671,"LMSLPS150100143","removal"
672,"LMSLPS150100143","servant"
673,"LMSLPS150100143","settlement"
674,"LMSLPS150100143","son/daughter"
675,"LMSLPS150100146","apprentice"
676,"LMSLPS150100146","children"
677,"LMSLPS150100146","churchwardens_petition"
678,"LMSLPS150100146","removal"
679,"LMSLPS150100146","settlement"
680,"LMSLPS150100146","wife"
681,"LMSLPS150100148","churchwardens_petition"
682,"LMSLPS150100148","removal"
683,"LMSLPS150100148","servant"
684,"LMSLPS150100148","settlement"
685,"LMSLPS150100148","wife"
686,"LMSLPS150100154","churchwardens_petition"
687,"LMSLPS150100154","removal"
688,"LMSLPS150100154","settlement"
689,"LMSLPS150100154","wife"
690,"LMSLPS150100159","churchwardens_petition"
691,"LMSLPS150100159","removal"
692,"LMSLPS150100159","settlement"
693,"LMSLPS150100161","children"
694,"LMSLPS150100161","churchwardens_petition"
695,"LMSLPS150100161","parents"
696,"LMSLPS150100161","removal"
697,"LMSLPS150100161","settlement"
698,"LMSLPS150100161","son/daughter"
699,"LMSLPS150100165","apprentice"
700,"LMSLPS150100165","churchwardens_petition"
701,"LMSLPS150100165","widow"
702,"LMSLPS150100167","bastardy"
703,"LMSLPS150100167","churchwardens_petition"
704,"LMSLPS150100169","churchwardens_petition"
705,"LMSLPS150100169","removal"
706,"LMSLPS150100169","servant"
707,"LMSLPS150100169","settlement"
708,"LMSLPS150100169","spinster"
709,"LMSLPS150100172","churchwardens_petition"
710,"LMSLPS150100172","wife"
711,"LMSLPS150100173","children"
712,"LMSLPS150100173","churchwardens_petition"
713,"LMSLPS150100173","husband"
714,"LMSLPS150100173","parents"
715,"LMSLPS150100173","rates"
716,"LMSLPS150100173","son/daughter"
717,"LMSLPS150100173","widow"
718,"LMSLPS150100173","wife"
719,"LMSLPS150110002","churchwardens_petition"
720,"LMSLPS150110002","rates"
721,"LMSLPS150110147","churchwardens_petition"
722,"LMSLPS150110147","rates"
723,"LMSLPS150110148","indictment"
724,"LMSLPS150110148","recognizances"
725,"LMSLPS150110149","friends"
726,"LMSLPS150110149","misdemeanours"
727,"LMSLPS150110149","prisoner"
728,"LMSLPS150110149","recognizances"
729,"LMSLPS150110150","murder"
730,"LMSLPS150110150","prisoner"
731,"LMSLPS150110150","robbery"
732,"LMSLPS150110151","apprentice"
733,"LMSLPS150110153","churchwardens_petition"
734,"LMSLPS150110153","fine"
735,"LMSLPS150110153","rates"
736,"LMSLPS150110154","churchwardens_petition"
737,"LMSLPS150110154","rates"
738,"LMSLPS150110155","churchwardens_petition"
739,"LMSLPS150110155","rates"
740,"LMSLPS150110158","apprentice"
741,"LMSLPS150110160","friends"
742,"LMSLPS150110160","husband"
743,"LMSLPS150110160","prisoner"
744,"LMSLPS150110160","recognizances"
745,"LMSLPS150110164","churchwardens_petition"
746,"LMSLPS150110164","removal"
747,"LMSLPS150110164","servant"
