pid,"ll_img","ll_url",mpage,"mp_imgs","tags","year","court"
53,"LMSLPS150050170","http://www.londonlives.org/browse.jsp?div=LMSLPS150050170",0,"","churchwardens_petition, husband, parents, removal, settlement, son/daughter","1694","SL"
54,"LMSLPS150050175","http://www.londonlives.org/browse.jsp?div=LMSLPS150050175",0,"","churchwardens_petition, husband, removal, settlement, wife","1694","SL"
55,"LMSLPS150050177","http://www.londonlives.org/browse.jsp?div=LMSLPS150050177",0,"","children, churchwardens_petition, parents, son/daughter","1694","SL"
56,"LMSLPS150050182","http://www.londonlives.org/browse.jsp?div=LMSLPS150050182",0,"","children, churchwardens_petition","1694","SL"
57,"LMSLPS150050184","http://www.londonlives.org/browse.jsp?div=LMSLPS150050184",0,"","churchwardens_petition, poor, rates","1694","SL"
58,"LMSLPS150050185","http://www.londonlives.org/browse.jsp?div=LMSLPS150050185",0,"","churchwardens_petition, rates","1694","SL"
59,"LMSLPS150050186","http://www.londonlives.org/browse.jsp?div=LMSLPS150050186",0,"","churchwardens_petition, rates","1694","SL"
60,"LMSLPS150050187","http://www.londonlives.org/browse.jsp?div=LMSLPS150050187",0,"","churchwardens_petition, rates","1694","SL"
61,"LMSLPS150050188","http://www.londonlives.org/browse.jsp?div=LMSLPS150050188",0,"","churchwardens_petition, rates","1694","SL"
62,"LMSLPS150050189","http://www.londonlives.org/browse.jsp?div=LMSLPS150050189",0,"","churchwardens_petition, rates","1694","SL"
63,"LMSLPS150050190","http://www.londonlives.org/browse.jsp?div=LMSLPS150050190",0,"","churchwardens_petition, rates","1694","SL"
64,"LMSLPS150050191","http://www.londonlives.org/browse.jsp?div=LMSLPS150050191",0,"","churchwardens_petition, rates","1694","SL"
65,"LMSLPS150050192","http://www.londonlives.org/browse.jsp?div=LMSLPS150050192",0,"","churchwardens_petition, rates","1694","SL"
66,"LMSLPS150050193","http://www.londonlives.org/browse.jsp?div=LMSLPS150050193",0,"","churchwardens_petition, rates","1694","SL"
67,"LMSLPS150050194","http://www.londonlives.org/browse.jsp?div=LMSLPS150050194",0,"","churchwardens_petition, rates","1694","SL"
68,"LMSLPS150060132","http://www.londonlives.org/browse.jsp?div=LMSLPS150060132",0,"","churchwardens_petition, parents, removal, settlement, son/daughter, wife","1695","SL"
69,"LMSLPS150060134","http://www.londonlives.org/browse.jsp?div=LMSLPS150060134",0,"","churchwardens_petition, removal, servant, settlement, spinster","1695","SL"
70,"LMSLPS150060135","http://www.londonlives.org/browse.jsp?div=LMSLPS150060135",0,"","children, churchwardens_petition, husband, son/daughter","1695","SL"
71,"LMSLPS150060137","http://www.londonlives.org/browse.jsp?div=LMSLPS150060137",0,"","churchwardens_petition, poor, removal, son/daughter","1695","SL"
72,"LMSLPS150060138","http://www.londonlives.org/browse.jsp?div=LMSLPS150060138",0,"","churchwardens_petition, parents, removal, settlement, son/daughter","1695","SL"
73,"LMSLPS150060141","http://www.londonlives.org/browse.jsp?div=LMSLPS150060141",0,"","churchwardens_petition, removal, servant, settlement","1695","SL"
74,"LMSLPS150060144","http://www.londonlives.org/browse.jsp?div=LMSLPS150060144",0,"","churchwardens_petition, removal, settlement, wife","1695","SL"
75,"LMSLPS150060147","http://www.londonlives.org/browse.jsp?div=LMSLPS150060147",0,"","bastardy, children, churchwardens_petition, recognizances, widow","1695","SL"
76,"LMSLPS150060148","http://www.londonlives.org/browse.jsp?div=LMSLPS150060148",0,"","churchwardens_petition, rates","1695","SL"
77,"LMSLPS150060149","http://www.londonlives.org/browse.jsp?div=LMSLPS150060149",0,"","friends, transportation","1695","SL"
78,"LMSLPS150060151","http://www.londonlives.org/browse.jsp?div=LMSLPS150060151",0,"","prisoner, recognizances, wife","1695","SL"
79,"LMSLPS150060153","http://www.londonlives.org/browse.jsp?div=LMSLPS150060153",0,"","indictment, prisoner, recognizances, treason","1695","SL"
80,"LMSLPS150060155","http://www.londonlives.org/browse.jsp?div=LMSLPS150060155",0,"","assault, indictment, recognizances","1695","SL"
81,"LMSLPS150060156","http://www.londonlives.org/browse.jsp?div=LMSLPS150060156",0,"","churchwardens_petition, rates","1695","SL"
82,"LMSLPS150070049","http://www.londonlives.org/browse.jsp?div=LMSLPS150070049",0,"","recognizances","1696","SL"
83,"LMSLPS150070050","http://www.londonlives.org/browse.jsp?div=LMSLPS150070050",0,"LMSLPS150070050||LMSLPS150070051||LMSLPS150070052","apprentice, drink, friends, parents, removal, son/daughter","1696","SL"
84,"LMSLPS150070101","http://www.londonlives.org/browse.jsp?div=LMSLPS150070101",0,"","prisoner, recognizances, theft","1696","SL"
85,"LMSLPS150070115","http://www.londonlives.org/browse.jsp?div=LMSLPS150070115",0,"","friends","1696","SL"
86,"LMSLPS150070122","http://www.londonlives.org/browse.jsp?div=LMSLPS150070122",0,"","churchwardens_petition, rates","1696","SL"
87,"LMSLPS150070123","http://www.londonlives.org/browse.jsp?div=LMSLPS150070123",0,"","churchwardens_petition, rates","1696","SL"
88,"LMSLPS150070129","http://www.londonlives.org/browse.jsp?div=LMSLPS150070129",0,"","coining_forgery, prisoner, recognizances","1696","SL"
89,"LMSLPS150070131","http://www.londonlives.org/browse.jsp?div=LMSLPS150070131",0,"","children, coining_forgery, prisoner, recognizances","1696","SL"
90,"LMSLPS150070138","http://www.londonlives.org/browse.jsp?div=LMSLPS150070138",0,"","children, churchwardens_petition, husband, removal, settlement, wife","1696","SL"
91,"LMSLPS150070184","http://www.londonlives.org/browse.jsp?div=LMSLPS150070184",0,"","children, coining_forgery, prisoner","1696","SL"
92,"LMSLPS150070185","http://www.londonlives.org/browse.jsp?div=LMSLPS150070185",0,"","prisoner, treason","1696","SL"
93,"LMSLPS150070186","http://www.londonlives.org/browse.jsp?div=LMSLPS150070186",0,"","prisoner","1696","SL"
94,"LMSLPS150070187","http://www.londonlives.org/browse.jsp?div=LMSLPS150070187",0,"","indictment, poor, prisoner, recognizances","1696","SL"
95,"LMSLPS150070188","http://www.londonlives.org/browse.jsp?div=LMSLPS150070188",0,"","coining_forgery, prisoner, treason","1696","SL"
96,"LMSLPS150070189","http://www.londonlives.org/browse.jsp?div=LMSLPS150070189",0,"","prisoner, recognizances, treason","1696","SL"
97,"LMSLPS150070190","http://www.londonlives.org/browse.jsp?div=LMSLPS150070190",0,"","coining_forgery, prisoner, treason","1696","SL"
98,"LMSLPS150070191","http://www.londonlives.org/browse.jsp?div=LMSLPS150070191",0,"","murder, prisoner, treason","1696","SL"
99,"LMSLPS150070192","http://www.londonlives.org/browse.jsp?div=LMSLPS150070192",0,"","prisoner, treason","1696","SL"
100,"LMSLPS150070193","http://www.londonlives.org/browse.jsp?div=LMSLPS150070193",0,"LMSLPS150070193||LMSLPS150070194","coining_forgery, indictment, prisoner, recognizances, treason","1696","SL"
101,"LMSLPS150070195","http://www.londonlives.org/browse.jsp?div=LMSLPS150070195",0,"","friends, indictment, prisoner","1696","SL"
102,"LMSLPS150070196","http://www.londonlives.org/browse.jsp?div=LMSLPS150070196",0,"","prisoner","1696","SL"
103,"LMSLPS150070197","http://www.londonlives.org/browse.jsp?div=LMSLPS150070197",0,"","friends, poor, prisoner","1696","SL"
104,"LMSLPS150070199","http://www.londonlives.org/browse.jsp?div=LMSLPS150070199",0,"","friends, prisoner, treason","1696","SL"
105,"LMSLPS150070201","http://www.londonlives.org/browse.jsp?div=LMSLPS150070201",0,"","indictment, prisoner, recognizances","1696","SL"
106,"LMSLPS150070202","http://www.londonlives.org/browse.jsp?div=LMSLPS150070202",0,"","friends, prisoner","1696","SL"
107,"LMSLPS150070203","http://www.londonlives.org/browse.jsp?div=LMSLPS150070203",0,"","poor, prisoner","1696","SL"
108,"LMSLPS150070204","http://www.londonlives.org/browse.jsp?div=LMSLPS150070204",0,"","children, prisoner, treason","1696","SL"
109,"LMSLPS150070205","http://www.londonlives.org/browse.jsp?div=LMSLPS150070205",0,"","coining_forgery, prisoner","1696","SL"
110,"LMSLPS150070206","http://www.londonlives.org/browse.jsp?div=LMSLPS150070206",0,"","coining_forgery, prisoner, treason, wife","1696","SL"
111,"LMSLPS150070207","http://www.londonlives.org/browse.jsp?div=LMSLPS150070207",0,"","prisoner","1696","SL"
112,"LMSLPS150070208","http://www.londonlives.org/browse.jsp?div=LMSLPS150070208",0,"","assault, poor, widow, wife","1696","SL"
113,"LMSLPS150070209","http://www.londonlives.org/browse.jsp?div=LMSLPS150070209",0,"","coining_forgery, prisoner, recognizances, removal, treason","1696","SL"
114,"LMSLPS150070210","http://www.londonlives.org/browse.jsp?div=LMSLPS150070210",0,"","prisoner","1696","SL"
115,"LMSLPS150070211","http://www.londonlives.org/browse.jsp?div=LMSLPS150070211",0,"","apprentice, assault","1696","SL"
116,"LMSLPS150070212","http://www.londonlives.org/browse.jsp?div=LMSLPS150070212",0,"","recognizances, transportation","1696","SL"
117,"LMSLPS150070213","http://www.londonlives.org/browse.jsp?div=LMSLPS150070213",0,"","poor, recognizances","1696","SL"
118,"LMSLPS150070216","http://www.londonlives.org/browse.jsp?div=LMSLPS150070216",0,"","coining_forgery, indictment, prisoner, wife","1696","SL"
119,"LMSLPS150070220","http://www.londonlives.org/browse.jsp?div=LMSLPS150070220",0,"","apprentice, friends, poor","1696","SL"
120,"LMSLPS150070230","http://www.londonlives.org/browse.jsp?div=LMSLPS150070230",0,"","churchwardens_petition, removal, settlement, wife","1696","SL"
121,"LMSLPS150080030","http://www.londonlives.org/browse.jsp?div=LMSLPS150080030",0,"","churchwardens_petition, husband, removal, settlement","1697","SL"
122,"LMSLPS150080058","http://www.londonlives.org/browse.jsp?div=LMSLPS150080058",0,"","coining_forgery, prisoner, recognizances, treason","1697","SL"
123,"LMSLPS150080059","http://www.londonlives.org/browse.jsp?div=LMSLPS150080059",0,"","coining_forgery, prisoner, recognizances","1697","SL"
124,"LMSLPS150080067","http://www.londonlives.org/browse.jsp?div=LMSLPS150080067",0,"","churchwardens_petition, rates","1697","SL"
125,"LMSLPS150080068","http://www.londonlives.org/browse.jsp?div=LMSLPS150080068",0,"LMSLPS150080068||LMSLPS150080069||LMSLPS150080070","churchwardens_overseers, rates","1697","SL"
126,"LMSLPS150080071","http://www.londonlives.org/browse.jsp?div=LMSLPS150080071",0,"","coining_forgery, prisoner, recognizances","1697","SL"
127,"LMSLPS150080072","http://www.londonlives.org/browse.jsp?div=LMSLPS150080072",0,"","coining_forgery, prisoner, recognizances","1697","SL"
128,"LMSLPS150080078","http://www.londonlives.org/browse.jsp?div=LMSLPS150080078",0,"LMSLPS150080078||LMSLPS150080079||LMSLPS150080080","apprentice, servant, son/daughter","1697","SL"
130,"LMSLPS150080108","http://www.londonlives.org/browse.jsp?div=LMSLPS150080108",0,"","prisoner","1697","SL"
131,"LMSLPS150080137","http://www.londonlives.org/browse.jsp?div=LMSLPS150080137",0,"","coining_forgery, drink, prisoner, treason","1697","SL"
132,"LMSLPS150080138","http://www.londonlives.org/browse.jsp?div=LMSLPS150080138",0,"","coining_forgery, prisoner, treason","1697","SL"
133,"LMSLPS150080139","http://www.londonlives.org/browse.jsp?div=LMSLPS150080139",0,"","prisoner, theft","1697","SL"
134,"LMSLPS150080140","http://www.londonlives.org/browse.jsp?div=LMSLPS150080140",0,"","prisoner, robbery","1697","SL"
135,"LMSLPS150080142","http://www.londonlives.org/browse.jsp?div=LMSLPS150080142",0,"LMSLPS150080142||LMSLPS150080143","children, churchwardens_petition","1697","SL"
136,"LMSLPS150080144","http://www.londonlives.org/browse.jsp?div=LMSLPS150080144",0,"LMSLPS150080144||LMSLPS150080145","children, churchwardens_petition, removal, settlement, wife","1697","SL"
137,"LMSLPS150080146","http://www.londonlives.org/browse.jsp?div=LMSLPS150080146",0,"","churchwardens_petition, removal, servant, settlement","1697","SL"
138,"LMSLPS150080147","http://www.londonlives.org/browse.jsp?div=LMSLPS150080147",0,"","churchwardens_petition, removal, settlement, wife","1697","SL"
139,"LMSLPS150080148","http://www.londonlives.org/browse.jsp?div=LMSLPS150080148",0,"LMSLPS150080148||LMSLPS150080149","churchwardens_petition, removal, servant, settlement, wife","1697","SL"
140,"LMSLPS150080151","http://www.londonlives.org/browse.jsp?div=LMSLPS150080151",0,"","churchwardens_petition, removal, settlement, son/daughter, widow","1697","SL"
141,"LMSLPS150080152","http://www.londonlives.org/browse.jsp?div=LMSLPS150080152",0,"","churchwardens_petition, disability, removal, servant, settlement","1697","SL"
142,"LMSLPS150080153","http://www.londonlives.org/browse.jsp?div=LMSLPS150080153",0,"LMSLPS150080153||LMSLPS150080154","apprentice, children, churchwardens_petition, removal, settlement, widow","1697","SL"
143,"LMSLPS150080158","http://www.londonlives.org/browse.jsp?div=LMSLPS150080158",0,"LMSLPS150080158||LMSLPS150080159","children, churchwardens_petition, removal, servant, settlement, spinster","1697","SL"
144,"LMSLPS150080160","http://www.londonlives.org/browse.jsp?div=LMSLPS150080160",0,"LMSLPS150080160||LMSLPS150080161","apprentice, churchwardens_petition, parents, removal, settlement","1697","SL"
145,"LMSLPS150080162","http://www.londonlives.org/browse.jsp?div=LMSLPS150080162",0,"LMSLPS150080162||LMSLPS150080163","apprentice, churchwardens_petition, husband, removal, settlement","1697","SL"
146,"LMSLPS150080164","http://www.londonlives.org/browse.jsp?div=LMSLPS150080164",0,"","churchwardens_petition, parents, poor, removal, servant, settlement, spinster","1697","SL"
147,"LMSLPS150080169","http://www.londonlives.org/browse.jsp?div=LMSLPS150080169",0,"LMSLPS150080169||LMSLPS150080170","churchwardens_petition, parents, son/daughter, widow, wife","1697","SL"
148,"LMSLPS150080171","http://www.londonlives.org/browse.jsp?div=LMSLPS150080171",0,"LMSLPS150080171||LMSLPS150080172","churchwardens_petition, husband, servant, widow, wife","1697","SL"
149,"LMSLPS150080173","http://www.londonlives.org/browse.jsp?div=LMSLPS150080173",0,"LMSLPS150080173||LMSLPS150080174","children, churchwardens_petition, drink, husband, removal, servant, settlement","1697","SL"
150,"LMSLPS150080175","http://www.londonlives.org/browse.jsp?div=LMSLPS150080175",1,"LMSLPS150080175||LMSLPS150080176","churchwardens_petition, servant, wife","1697","SL"
151,"LMSLPS150090010","http://www.londonlives.org/browse.jsp?div=LMSLPS150090010",0,"","is_poor, prisoner, recognizances, theft","1698","SL"
152,"LMSLPS150090011","http://www.londonlives.org/browse.jsp?div=LMSLPS150090011",0,"","apprentice, parents, son/daughter","1698","SL"
153,"LMSLPS150090033","http://www.londonlives.org/browse.jsp?div=LMSLPS150090033",0,"","churchwardens_petition, rates","1698","SL"
154,"LMSLPS150090035","http://www.londonlives.org/browse.jsp?div=LMSLPS150090035",0,"","indictment, recognizances","1698","SL"
155,"LMSLPS150090065","http://www.londonlives.org/browse.jsp?div=LMSLPS150090065",0,"","indictment, prisoner","1698","SL"
156,"LMSLPS150090066","http://www.londonlives.org/browse.jsp?div=LMSLPS150090066",0,"","prisoner","1698","SL"
157,"LMSLPS150090069","http://www.londonlives.org/browse.jsp?div=LMSLPS150090069",0,"","coining_forgery, prisoner","1698","SL"
158,"LMSLPS150090071","http://www.londonlives.org/browse.jsp?div=LMSLPS150090071",0,"","churchwardens_petition, removal, settlement","1698","SL"
159,"LMSLPS150090074","http://www.londonlives.org/browse.jsp?div=LMSLPS150090074",0,"","children, churchwardens_overseers, spinster, widow","1698","SL"
160,"LMSLPS150090078","http://www.londonlives.org/browse.jsp?div=LMSLPS150090078",0,"","churchwardens_petition, removal, settlement","1698","SL"
161,"LMSLPS150090081","http://www.londonlives.org/browse.jsp?div=LMSLPS150090081",0,"","churchwardens_petition, wife","1698","SL"
162,"LMSLPS150090086","http://www.londonlives.org/browse.jsp?div=LMSLPS150090086",0,"","apprentice, churchwardens_petition, removal, servant, settlement, wife","1698","SL"
163,"LMSLPS150090090","http://www.londonlives.org/browse.jsp?div=LMSLPS150090090",0,"","apprentice, churchwardens_petition, removal, settlement, wife","1698","SL"
164,"LMSLPS150090094","http://www.londonlives.org/browse.jsp?div=LMSLPS150090094",0,"","churchwardens_petition, removal, settlement, son/daughter","1698","SL"
165,"LMSLPS150090095","http://www.londonlives.org/browse.jsp?div=LMSLPS150090095",0,"","churchwardens_petition, husband, removal, settlement","1698","SL"
166,"LMSLPS150090097","http://www.londonlives.org/browse.jsp?div=LMSLPS150090097",0,"","apprentice, churchwardens_petition, husband, removal, settlement, wife","1698","SL"
167,"LMSLPS150090100","http://www.londonlives.org/browse.jsp?div=LMSLPS150090100",0,"","churchwardens_petition, husband, wife","1698","SL"
168,"LMSLPS150090104","http://www.londonlives.org/browse.jsp?div=LMSLPS150090104",0,"","children, churchwardens_petition, removal, settlement, widow","1698","SL"
169,"LMSLPS150090105","http://www.londonlives.org/browse.jsp?div=LMSLPS150090105",0,"","churchwardens_petition, removal, servant, settlement, son/daughter, wife","1698","SL"
170,"LMSLPS150100001","http://www.londonlives.org/browse.jsp?div=LMSLPS150100001",0,"","churchwardens_petition, rates","1699","SL"
171,"LMSLPS150100026","http://www.londonlives.org/browse.jsp?div=LMSLPS150100026",0,"","felony, poor, prisoner, recognizances","1699","SL"
172,"LMSLPS150100059","http://www.londonlives.org/browse.jsp?div=LMSLPS150100059",0,"","disability, friends, is_poor","1699","SL"
174,"LMSLPS150100091","http://www.londonlives.org/browse.jsp?div=LMSLPS150100091",0,"","poor, prisoner, recognizances, wife","1699","SL"
175,"LMSLPS150100092","http://www.londonlives.org/browse.jsp?div=LMSLPS150100092",0,"","friends, prisoner, recognizances, theft","1699","SL"
176,"LMSLPS150100093","http://www.londonlives.org/browse.jsp?div=LMSLPS150100093",0,"","felony, friends, poor, prisoner, receiving","1699","SL"
177,"LMSLPS150100102","http://www.londonlives.org/browse.jsp?div=LMSLPS150100102",0,"","churchwardens_petition, rates","1699","SL"
178,"LMSLPS150100103","http://www.londonlives.org/browse.jsp?div=LMSLPS150100103",0,"","parishioners, rates","1699","SL"
179,"LMSLPS150100104","http://www.londonlives.org/browse.jsp?div=LMSLPS150100104",0,"","rates","1699","SL"
180,"LMSLPS150100106","http://www.londonlives.org/browse.jsp?div=LMSLPS150100106",0,"","parishioners, rates","1699","SL"
181,"LMSLPS150100107","http://www.londonlives.org/browse.jsp?div=LMSLPS150100107",0,"","churchwardens_petition, poor, rates","1699","SL"
182,"LMSLPS150100108","http://www.londonlives.org/browse.jsp?div=LMSLPS150100108",0,"","churchwardens_petition","1699","SL"
183,"LMSLPS150100109","http://www.londonlives.org/browse.jsp?div=LMSLPS150100109",0,"","churchwardens_petition","1699","SL"
184,"LMSLPS150100110","http://www.londonlives.org/browse.jsp?div=LMSLPS150100110",1,"LMSLPS150100110||LMSLPS150100111","churchwardens_petition, rates","1699","SL"
185,"LMSLPS150100112","http://www.londonlives.org/browse.jsp?div=LMSLPS150100112",0,"","churchwardens_petition, rates","1699","SL"
186,"LMSLPS150100113","http://www.londonlives.org/browse.jsp?div=LMSLPS150100113",0,"","prisoner, treason","1699","SL"
187,"LMSLPS150100114","http://www.londonlives.org/browse.jsp?div=LMSLPS150100114",0,"","apprentice, children, son/daughter, widow, wife","1699","SL"
188,"LMSLPS150100115","http://www.londonlives.org/browse.jsp?div=LMSLPS150100115",0,"","prisoner, recognizances, theft","1699","SL"
189,"LMSLPS150100116","http://www.londonlives.org/browse.jsp?div=LMSLPS150100116",0,"","prisoner, theft","1699","SL"
190,"LMSLPS150100117","http://www.londonlives.org/browse.jsp?div=LMSLPS150100117",0,"","prisoner","1699","SL"
191,"LMSLPS150100118","http://www.londonlives.org/browse.jsp?div=LMSLPS150100118",0,"","prisoner","1699","SL"
192,"LMSLPS150100120","http://www.londonlives.org/browse.jsp?div=LMSLPS150100120",0,"","apprentice, bastardy, churchwardens_petition, removal, settlement, son/daughter","1699","SL"
193,"LMSLPS150100122","http://www.londonlives.org/browse.jsp?div=LMSLPS150100122",0,"","bastardy, churchwardens_petition","1699","SL"
194,"LMSLPS150100124","http://www.londonlives.org/browse.jsp?div=LMSLPS150100124",0,"","apprentice, churchwardens_petition, parents, removal, settlement, son/daughter","1699","SL"
195,"LMSLPS150100126","http://www.londonlives.org/browse.jsp?div=LMSLPS150100126",0,"","churchwardens_petition, removal, servant, settlement","1699","SL"
196,"LMSLPS150100128","http://www.londonlives.org/browse.jsp?div=LMSLPS150100128",0,"","churchwardens_petition, removal, settlement, wife","1699","SL"
